rcp_id,base_malt_pct_log,Boil Kettle_log,Whirlpool_log,Fermenter_log,Total Hops_log,fermenter_temperature_log,cu_low_log,cu_high_log,cu_setpoint_log,pre_run_dump_volume_log,original_gravity_log,clar_eff_log
208,-0.4498748576223382,,,,,0.7926347685891668,2.050890287696085,1.992411360942728,1.9113626660610252,,1.2047276825911135,0.6266584229309892
209,0.22390465035305052,,,,,0.9344174602841888,1.931203680708332,1.8889586960829046,2.0235754604701883,,0.7930522163813194,-0.13955434950347714
214,0.39135651889554607,1.4727901590220978,0.9356073701339428,0.9606627863728053,1.4387166857639069,0.35870777549432387,0.4982187929487918,0.6380942464113277,0.5286971936617815,-0.441869723106545,0.5955926823255288,-1.1026376556156703
215,-1.7388452985896627,-0.8134115659372584,-0.4251075661156369,0.0014115670857626917,-0.8071933594351308,0.35870777549432387,0.6924703884656821,0.0019585699396729456,1.6748645519710912,-0.9852651468950299,-0.8286942501598697,0.47405754244648834
217,0.4807232032728487,-0.9022164579460311,-1.391962998969424,-1.0134718328330117,-1.2346469943965401,1.4008539109848583,1.4640004711326553,1.0191056962110476,0.7704475556491894,0.8649624707875193,0.5679719832590524,2.474005991153885
218,1.565902141003503,,,,,0.35870777549432387,0.6924703884656821,0.5888909247470453,0.5286971936617815,,-0.44982177007134905,0.9268313144623898
219,0.8679172377122326,-1.1156420927478037,0.5935941039564316,0.0014115670857626917,-0.9185352577142789,0.35870777549432387,0.026838006138459238,-0.1763029661832311,-0.892168699227665,,-0.8065221251633988,0.9462140977229899
220,-0.7401734788730033,,,,,0.5643722671901678,1.979814895768186,2.071973096884228,2.0235754604701883,,2.515265881706446,-0.6332250383864199
221,0.6479727893438892,,,,,0.35870777549432387,0.6924703884656821,0.5888909247470453,0.5286971936617815,,-0.44982177007134905,0.9268313144623898
222,-1.4623661193527917,,,,,-0.2763996752919535,1.3099890546588333,1.1330815922603765,0.979461525218422,,-1.1662745244695332,2.05483419022949
223,0.6000413604217183,,,,,0.13778353335826138,0.18117416445303905,0.10225899121623684,-0.4533254279206704,,-0.6130367236428375,-0.1451106280852822
224,1.4484875564867579,,,,,0.5244043043717154,0.617705347238,0.10225899121623684,-0.07608008358700957,,0.6364380541600575,-1.2716026838857386
225,-0.289941932773716,,,,,0.5244043043717154,0.41334793158309696,0.1346402789032679,-0.07608008358700957,,-0.6977023878092035,0.6490534986722926
226,0.5529983834343787,-0.5580758236317606,-1.391962998969424,-1.0134718328330117,-0.8997194690862049,-1.343845034738534,-0.726626396143957,-0.8066430357869172,-0.892168699227665,-0.13288252637003248,0.07978018508497182,0.9462140977229899
227,-0.7896927277000201,-0.5714748306650964,-1.391962998969424,-1.0134718328330117,-0.9128537374917723,-1.049758768794547,-0.13997074864374637,0.0019585699396729456,-0.892168699227665,-0.20651534783462602,0.8917452062770829,0.43532558682214656
228,-1.0715156650870912,,,,,-1.1134168573002974,-0.9552702803087572,-0.8544378193023248,-0.892168699227665,,-0.530429485088327,0.09865882346481528
229,-0.37601785620293987,,,,,-1.2436149723450738,0.6924703884656821,0.5888909247470453,-0.07608008358700957,,-0.48987929200796493,-0.12084565239889644
231,-0.1784664590237074,,,,,-0.6870053826846543,1.956583898225764,1.8889586960829046,1.764632326003408,,0.9861394323466638,-0.026529003410904833
232,-1.0125741990720583,,,,,-0.8643555338955583,2.229816560059341,2.272277934376346,2.2993787251913753,,1.9462287892119825,-1.1981601628565157
233,0.9077896817451186,,,,,-0.19954683113600025,-0.5839960740962579,-0.4932404487828113,-0.892168699227665,-0.6116383519285612,0.7186797423346972,-1.0560568296924022
234,-1.7227009556196586,,,,,-1.2436149723450738,1.4640004711326553,1.8258460694854666,2.2993787251913753,,0.6898270948561365,-0.06068660255757327
235,0.6250360905500624,,,,,-1.1134168573002974,1.498105738912825,1.174053540041675,0.9794614673178558,,-0.332535204240235,0.3579292549356611
236,0.4447638551997778,1.0070506067489275,0.648267693177148,1.0183589190281663,1.0428333322876353,-1.049758768794547,0.4563238127755992,0.9626253656261143,0.5286971936617815,0.26349962147292183,1.2150444204729944,-1.685320235048486
237,0.7524709117698967,,,,,-1.1134174689270184,-0.5154576668652174,-1.0280969867386396,-1.1379979693534523,-1.6431175271397218,0.35039761980396034,-1.9537104358272719
238,0.9453496101040783,,,,,-1.2436149723450738,-0.2586387043057954,0.0019585699396729456,-0.4533254279206704,,-0.4102498585432091,0.5370663923078649
239,1.723503654068268,-1.0771363912475103,0.0014423861207908996,0.030218966015548198,-0.9698357312201974,0.35870777549432387,0.2776305986991753,1.0191056962110476,0.5286971936617815,,-0.7408260843462573,0.5236157974782563
240,0.14337085329452126,-0.10815740194443638,0.9356073701339428,1.2977092748771786,0.32050984028894786,-0.40828633463763275,0.617705347238,0.5888909247470453,0.6539879347606877,0.8649624707875193,0.6699479439570969,-0.7904278807584586
241,-1.6825262772766505,-0.7583120952152969,-0.8435783052631985,-1.0134718328330117,-1.0416640761063853,-0.07512551980534107,-0.6189496452849766,-0.5574007990235365,-0.664414126748927,-0.441869723106545,0.7160715695189676,0.8146823100830176
242,1.2047188063810983,-0.20031734759598946,-1.391962998969424,-1.0134718328330117,-0.5459226196237589,-1.049758768794547,-0.9552702803087572,-1.2121733815779385,-0.892168699227665,-0.441869723106545,-0.14627439982433993,0.4841258135181108
243,0.10796098242205299,0.5335663925360469,0.9802952140888969,0.7965961681699743,0.6480574953204011,0.9855664954683551,1.2210713826879624,1.2057523721138164,0.9794614673178558,,-0.41221702854059045,0.1904053333859516
244,-0.6900535677536831,,,,,-1.8051971682888182,0.32403257228842103,0.43175801185393486,-0.07608008358700957,,-0.48987929200796493,2.585612080552271
245,-0.14295681582680453,,,,,-1.1780307584032599,0.3692610491383466,0.19787903316805264,-0.07608008358700957,,-0.530429485088327,-0.283860248426033
247,0.6804323296206608,1.6138046794820926,0.6303306491404366,1.1705022784661163,1.572312088082789,0.4427386310483016,0.4982187929487918,1.0191056962110476,0.5286971936617815,-0.441869723106545,1.3346051023215897,-1.4512237489480737
248,0.16253147434986062,,,,,-1.3101854858957651,0.6924703884656821,1.337360622498407,0.9794614673178558,,0.6092853712078624,-0.2704460831910931
249,0.5898205377369091,,,,,-0.3815225307294653,-0.19853047689508374,-0.3897378269811651,0.09235345397601603,,1.4008831002938649,-0.7766550895287618
250,0.2597864633660138,-0.36601114416398334,0.3452523489026296,0.1678469095016472,-0.295260486500538,0.13778353335826138,0.32403253815517263,0.31850255115831466,-0.4533253673650517,,-1.5631023946297145,1.1975382929418932
251,-0.8790627072499556,,,,,-1.049758768794547,1.4640004711326553,1.1900205257737202,0.9794614673178558,,0.35039761980396034,0.7744979710826854
252,0.3048763600868926,,,,,-1.1134168573002974,-0.13997074864374637,0.19787903316805264,-0.07608008358700957,,-0.9646696026829252,1.3774281833770148
253,-0.9680728941157885,,,,,-1.956484953554625,1.37124340325208,1.0905529353858168,0.7704475556491894,,-0.8734547378872116,0.8995205196567745
254,0.7320721932511027,,,,,-0.6296110937189752,0.026838006138459238,0.0019585699396729456,-0.892168699227665,,-0.6551084934643624,1.7934803308085088
255,0.9194191563251688,,,,,-1.5159776891438843,-0.2586387043057954,-0.4932404487828113,-0.892168699227665,-0.3609290904123809,0.19448356114866652,0.11043316691027183
