recipe_id,add_type,sum_of_additive_type,rcp_ferm_vol,location,add_per_bbl
424,Hops,16,,"Boil Kettle",
424,Hops,5,,Whirlpool,
425,Hops,21.25,16.0000000000000000,"Boil Kettle",1.328125
425,"Sugar & Syrups",110,16.0000000000000000,"Boil Kettle",6.875
425,"Fruit and Honey",292,16.0000000000000000,"Brite Tank",18.25
426,Hops,11.25,,"Boil Kettle",
426,"Sugar & Syrups",493,,Fermenter,
426,"Fruit and Honey",1,,Whirlpool,
429,Hops,6,,"Boil Kettle",
429,Hops,15,,Fermenter,
429,Hops,12,,Whirlpool,
430,Hops,55,,"Boil Kettle",
430,"Fruit and Honey",7.5,,Fermenter,
430,Hops,18,,Fermenter,
430,Hops,12,,Whirlpool,
431,Hops,26.5,,"Boil Kettle",
431,Hops,4,,Whirlpool,
432,Hops,26.8,16.5000000000000000,"Boil Kettle",1.62424237800367
432,"Fruit and Honey",252,16.5000000000000000,Fermenter,15.2727272727273
432,"Fruit and Honey",10,16.5000000000000000,Whirlpool,0.606060606060606
432,Hops,8,16.5000000000000000,Whirlpool,0.484848484848485
434,Hops,15,15.0000000000000000,"Boil Kettle",1
434,"Sugar & Syrups",252,15.0000000000000000,Fermenter,16.8
434,Hops,4,15.0000000000000000,Whirlpool,0.266666666666667
435,Hops,1,16.0000000000000000,"Boil Kettle",0.0625
435,Hops,18,16.0000000000000000,Fermenter,1.125
435,Hops,9,16.0000000000000000,Whirlpool,0.5625
436,Hops,46.4,,"Boil Kettle",
436,Hops,32,,Fermenter,
436,Hops,8,,Whirlpool,
