rcp_id,base_malt_pct,Boil Kettle,Whirlpool,Fermenter,Total Hops,fermenter_temperature,cu_low,cu_high,cu_setpoint,pre_run_dump_volume,original_gravity,clar_eff
75,81.93548321723941,11.548269418569697,0.9153845860407901,2.3692307105431203,14.832884715153607,34.0,0.119999997317791,0.3500000089406965,0.6000000089406965,1.20000004768372,15.8,84.2960562918756
76,73.4522581100464,6.74212929054543,0.17972222080937097,1.19814809163411,8.11999960298891,33.6000003814697,0.170000001788139,0.400000005960464,0.7000000178813934,1.05000001192093,10.48,93.0887674286092
78,86.0215067863464,,,,,33.0,0.21499999612569798,0.4249999970197675,0.6000000238418579,,10.31,97.31051344743281
87,67.5020217895508,2.8321102037342296,0.47889905457102905,0.582568807339449,3.893578065644708,33.0,0.1299999989569185,0.33000001311302196,0.400000005960464,10.1999998092651,13.25,88.33888914969809
89,70.0389087200165,1.97826086956522,0.118260872882345,0.0,2.096521742447565,39.0,0.239999994635582,0.400000005960464,0.550000011920929,,10.97,98.3310780333784
92,69.6304202079773,2.69433968022185,0.160377358490566,0.0,2.8547170387124163,34.0,0.540000021457672,1.0,1.0,1.3999999761581399,18.05,94.96676163342829
93,78.804349899292,14.626666937934,0.6777777777777779,2.0,17.304444715711778,30.399999618530302,0.170000001788139,0.349999994039536,0.8000000119209291,,18.54,81.7884405670665
94,75.3968238830566,3.21296296296296,0.648148148148148,0.0,3.861111111111108,34.5999984741211,0.07999999932944775,0.500000002980232,0.6000000238418579,0.8000000119209291,13.18,93.9322223200553
101,82.7679753303528,10.0710472470238,0.30952380952381,1.31428571428571,11.69485677083332,33.4000015258789,0.6200000047683721,0.6499999761581421,1.1000000238418601,,14.71,92.79368213228041
102,79.1044771671295,7.94444444444444,0.435185185185185,1.1962962680392801,9.575925897668904,33.0,0.0799999982118607,0.25,0.400000005960464,7.5,14.38,87.5405280222325
104,58.7499976158142,1.77037034211335,0.12962962962963,0.0,1.89999997174298,34.5999984741211,0.7100000083446499,1.0,1.0,3.39999997615814,16.2,96.1758860064117
107,64.8854970932007,12.701435873953303,0.574162679425837,1.26315789473684,14.538756448115981,33.7999992370605,0.195000000298023,0.5,0.6000000238418579,9.0,14.38,91.42544826592506
111,82.9015552997589,1.13571425846645,0.318750006811959,0.0,1.4544642652784088,36.0,0.200000002980232,0.400000005960464,0.400000005960464,,10.31,95.11111111111109
114,79.1044771671295,7.94444444444444,0.435185185185185,1.1962962680392801,9.575925897668904,33.5,0.6499999761581421,1.20000004768372,1.39999997615814,,14.36,99.0990990990991
120,78.8732409477234,33.1058823529412,0.941176470588235,3.5294117647058796,37.57647058823531,34.25,0.14000000059604598,0.400000005960464,0.400000005960464,0.8000000119209291,18.77,82.94481538097835
122,64.59627151489259,4.91176470588235,0.294117647058824,1.0,6.205882352941174,30.900000572204597,0.175000004470348,0.3049999997019765,0.400000005960464,0.800000011920929,11.55,87.24879074425235
125,69.2307710647583,,,,,33.5,0.0799999982118607,0.8000000119209291,0.8000000119209291,,12.0,89.9999985328087
126,68.75,,,,,,0.200000002980232,0.400000005960464,0.8000000119209291,,15.14,90.5797101449275
127,57.1428596973419,,,,,38.5,0.219999998807907,0.8000000119209291,0.8000000119209291,,11.66,87.8472195731269
128,72.9166686534882,1.5836066574346799,0.327868852459016,0.5737704918032789,2.485246001696975,36.0,0.255000002682209,0.469999998807907,0.6000000238418579,0.8999999761581421,10.05,94.63148316651501
132,79.0419161319733,14.378640776699,0.8737864077669899,2.02912621359223,17.28155339805822,34.4000015258789,0.180000007152557,0.8000000119209291,0.8000000119209291,,16.94,84.9609375
137,81.7307710647583,5.148148148148151,0.37037037037037,1.22222222222222,6.7407407407407405,34.0,0.170000001788139,0.23000000417232502,0.8000000119209291,,11.42,90.0255741467358
138,46.0652589797974,0.9636363636363641,0.272727272727273,0.0,1.236363636363637,35.0,0.400000005960464,0.6000000238418579,0.8000000119209291,,11.14,97.56097560975608
139,65.1162803173065,,,,,35.0,0.400000005960464,1.39999997615814,1.39999997615814,,15.14,90.06849053787859
140,52.9411792755127,,,,,33.7000007629395,0.10999999940395402,0.200000002980232,0.8000000119209291,,12.45,93.1034482758621
141,83.3333313465118,,,,,34.100000381469755,0.41499999910592994,0.6000000089406965,0.8000000119209291,,13.825,79.80120908453445
142,76.65505409240721,,,,,34.0,0.34000000357627896,0.44999998807907104,0.8000000119209291,,22.03,81.3953488372093
143,55.9322059154511,,,,,37.5,0.430000007152557,0.8000000119209291,0.8000000119209291,,8.76,89.1891879004401
144,64.5161271095276,,,,,30.0,0.560000002384186,0.959999978542328,1.0,,11.6,85.8895705521472
145,75.0,,,,,33.5999984741211,0.100000001490116,0.30000001192092896,0.8000000119209291,,12.1,94.1558441558442
147,100.0,1.76651791163853,0.1875,0.0,1.95401791163853,33.2000007629395,0.175000000745058,0.299999997019768,0.500000014901161,,11.675,98.30960854092524
148,68.1818187236786,0.681818181818182,0.545454545454545,0.0,1.227272727272727,31.2499990463257,0.20500000566244103,0.5500000119209285,0.8000000119209291,0.8000000119209291,15.815000000000001,92.948717948718
150,60.0000023841858,,,,,34.0,0.150000005960464,0.400000005960464,2.0,,18.7,90.9090909090909
153,61.0169470310211,,,,,34.0,0.200000002980232,0.5,0.8000000119209291,,18.42,92.0
154,53.333336114883394,,,,,33.4000015258789,0.699999988079071,1.0,1.0,,10.46,92.83387622149841
155,100.0,,,,,34.0,0.34000000357627896,0.44999998807907104,0.8000000119209291,,22.03,81.3953488372093
156,47.13114798069,0.6790908813476559,0.0,0.0,0.6790908813476559,34.5,0.200000002980232,0.400000005960464,0.400000005960464,1.9500000119209298,9.8,91.0623946037099
157,48.4848499298096,,,,,32.9000015258789,,,,,11.7,90.32258064516131
158,55.1724135875702,,,,,33.20000076293945,0.6299999952316279,0.5099999979138374,0.9000000059604645,,9.82,94.1960777955897
159,55.1724135875702,,,,,34.0,0.100000001490116,0.200000002980232,0.8000000119209291,,10.78,89.74358974358981
160,68.2926833629608,,,,,32.89999961853025,0.20000000298023202,0.3500000089406965,0.6000000089406965,0.8999999761581421,15.129999999999999,82.7699523800416
161,59.210526943206794,,,,,38.0,0.5,0.8999999761581421,1.0,,23.47,91.89189446939001
163,67.1296298503876,,,,,33.0,0.510000005364418,0.5900000035762785,0.8499999940395355,0.400000005960464,15.75,92.3085662349466
